,2015-2019,2022-2025,2013-2025 ex-COVID
Jan,2.093338244812115,5.561469631968219,3.3158542750810067
Feb,1.8016307286504272,4.635521589677088,2.6758057700529263
Mar,1.3653433113337843,3.700105738751247,2.229677049819266
Apr,2.468724047128368,3.4514588777669717,2.619267309435098
May,1.5730120144149229,2.8567290852393903,2.068185347452559
Jun,1.5260023572797765,4.1503351445682455,2.5165979047311993
Jul,1.359933310798338,2.4126417831975444,1.8264891922362851
Aug,1.1833388964358793,3.3025448263560078,1.8996748280808502
Sep,1.5898733744197768,3.7164798269466948,2.351054700153003
Oct,1.7291853965175008,3.1560168508871502,2.214739281334825
Nov,1.0807368226597536,2.06740622789352,1.5225039720841387
Dec,1.7548587511607174,3.204370290539771,2.1571511952691904
