Symbol,dbsym,sector,cik,px_ytd,qoq_raw,qoq_des,season_pct
MMM,MMM,Industrials,66740,0.21865433872680917,14.953271028037385,-6.352045526471595,22.750434512193628
AOS,AOS,Industrials,91142,-6.175700934579442,-4.494382022471955,-19.04970341040353,17.980565854779318
ABT,ABT,Health Care,1800,-23.939502773454645,-39.603960396039604,81.16162738417734,-66.66179230335432
ABBV,ABBV,Health Care,1551152,13.87699834017646,-61.764705882352935,-77.6546982429335,71.11111111111097
ACN,ACN,Information Technology,1467373,-36.01878074228648,-18.384401114206117,-7.247356490145307,-12.007253057836065
ADBE,ADBE,Information Technology,796343,-37.248235865497236,3.603603603603611,52.19254370863109,-31.92596622739273
AMD,AMD,Information Technology,2488,142.40145712684472,-8.695652173913038,84.6721362399315,-50.558676752695575
AES,AES,Utilities,874761,27.17921896792188,51.11111111111117,1324.7619047619046,-89.39393939393939
AFL,AFL,Financials,4977,9.652544679306896,-23.25581395348838,147.52917205455577,-68.9959024184846
A,A,Health Care,1090872,-4.129013298067741,,,
APD,APD,Materials,2969,27.179238025830998,,,
ABNB,ABNB,Consumer Discretionary,1559720,9.723756906077341,,,
AKAM,AKAM,Information Technology,1086222,29.75296612598155,24.561403508771917,26.476278149556222,-1.514018809535178
ALB,ALB,Materials,915913,-4.171380090497745,,,
ARE,ARE,Real Estate,1035443,7.3937908496731986,,,
ALGN,ALGN,Health Care,1097149,18.08170060186962,-16.489361702127702,-5.051007113969986,-12.046841404508102
ALLE,ALLE,Industrials,1579241,-11.713182431796042,-6.470588235294128,-10.435694486437663,4.427105450555979
LNT,LNT,Utilities,352541,19.969242599000392,61.11111111111116,17.260982203156416,37.39532799749512
ALL,ALL,Financials,899051,20.292153188217753,-35.0421348314607,32.76090038168298,-51.07153914911115
GOOGL,GOOGL,Communication Services,1652044,14.759180542682726,81.20567375886529,47.30467847127955,23.01420134065568
GOOG,GOOG,Communication Services,1652044,13.007456503728253,81.20567375886529,47.30467847127955,23.01420134065568
MO,MO,Consumer Staples,764180,26.048890429958394,94.02985074626862,219.33357681073713,-39.239132732582526
AMZN,AMZN,Consumer Discretionary,1018724,5.164197209947141,42.56410256410253,55.759683722831575,-8.471756518336349
AMCR,AMCR,Materials,1748790,,,,
AEE,AEE,Utilities,1002910,15.186260765071102,39.13043478260878,-6.8833173108515,49.415153938707235
AEP,AEP,Utilities,4904,20.161290322580648,50.9433962264151,-20.973489669401868,91.00349439063058
AXP,AXP,Financials,4962,-4.875510259252258,21.590909090909083,-1.4365868118810021,23.3631275114627
AIG,AIG,Financials,5272,-7.187938288920059,3.6764705882353255,-71.982761488899,270.0452867514282
AMT,AMT,Real Estate,1053507,-5.459516418420529,4.545454545454541,-49.61809592822095,107.50596165740131
AWK,AWK,Utilities,1410636,4.873563218390808,-18.032786885245944,-14.481783340245169,-4.152335822353381
AMP,AMP,Financials,820027,-0.31290450806723547,-6.83349374398462,-22.935996699050488,20.89497335374928
AME,AME,Industrials,1037868,14.277363729358461,0.5780346820808635,10.79446003695439,-9.221061550790488
AMGN,AMGN,Health Care,318154,14.241637391171524,36.326530612244824,-50.155612244897995,173.50427350427356
APH,APH,Information Technology,820313,21.04776351326352,-22.580645161290324,-71.16560497738416,168.49654649590158
ADI,ADI,Information Technology,6281,39.189438359700546,,,
AON,AON,Financials,315293,1.2795624264924754,-28.005115089514064,-58.76432704560447,74.59369461511751
APA,APA,Energy,1841666,32.284429914180635,59.49367088607587,479.5638497269552,-72.48039694656305
APO,APO,Financials,1858681,-18.093922651933713,,,-62.27370632200249
AAPL,AAPL,Information Technology,320193,13.204011903449796,,,
AMAT,AMAT,Information Technology,6951,135.7559722978757,,,
APP,APP,Information Technology,1751008,-1.9641395729484312,9.876543209876566,-6.605241538357665,17.647440841129615
APTV,APTV,Consumer Discretionary,1521332,-22.61138125903536,39.6825396825397,474.64335945348637,-75.69230769230771
ACGL,ACGL,Financials,947484,6.551993745113371,-13.513513513513487,59.775506582226235,-45.86999701235342
ADM,ADM,Consumer Staples,7084,33.579688722719744,-34.736842105263165,-19.468659434049552,-18.959305239318436
ARES,ARES,Financials,1176948,-27.709725315515954,,,
ANET,ANET,Information Technology,1596532,22.092490842490854,8.108108108108137,6.418918918918948,1.5873015873015817
AJG,AJG,Financials,354190,-2.6004636785162405,444.8275862068965,120.3346855983772,147.2727272727273
AIZ,AIZ,Financials,1267238,15.97841875907864,23.798627002288363,25.910616459338343,-1.6773720250444657
T,T,Communication Services,732717,-17.223340040241453,3.8461538461538547,-19.192544796607148,28.510610295513516
ATO,ATO,Utilities,731802,5.526708445240214,,,
ADSK,ADSK,Information Technology,769397,-29.934477168332883,57.82312925170066,134.52810302830093,-32.70609056490946
ADP,ADP,Industrials,8670,-5.8309037900874605,,,
AZO,AZO,Consumer Discretionary,866787,-6.85253734865131,,,
AVB,AVB,Real Estate,915912,6.979695431472077,97.45762711864406,155.95554809714014,-22.854718881223455
AVY,AVY,Materials,8818,-8.20275990983561,0.9259259259259744,-6.518429814980353,7.963447475446106
AXON,AXON,Industrials,1069183,5.134073982780785,10150.00000000003,8317.32718368181,21.77262183500619
BKR,BKR,Energy,1701605,15.909090909090896,,,
BALL,BALL,Materials,9389,19.63004907512269,5.47945205479452,-87.04116330033335,713.9577224359026
BAC,BAC,Financials,70858,6.718792617510694,14.432989690721687,-28.9572178720249,61.07616602709096
BAX,BAX,Health Care,10456,18.472004186289915,,,-85.71428571428574
BDX,BDX,Health Care,10795,1.8148796949868595,,,
BRK.B,BRK-B,Financials,1067983,,,,
BBY,BBY,Consumer Discretionary,764478,16.45626353925451,-48.828124999999986,-46.79494721987885,-3.821399799232583
TECH,TECH,Health Care,842023,20.430198945757528,,,
BIIB,BIIB,Health Care,875045,22.76625958534506,,,19.63097751903149
BLK,BLK,Financials,2012383,-7.088978875048468,99.43262411347511,120.12065566051606,-9.398496240601483
BX,BX,Financials,1393818,-20.376195881303715,-35.65891472868219,-70.15220572271532,115.56395314706344
XYZ,XYZ,Financials,1512673,21.078506683054222,,,-36.51377244374478
BNY,BNY,Financials,1390777,,11.442786069651723,-53.99283560887713,142.22919961386435
BA,BA,Industrials,12927,4.23576561636263,,,
BKNG,BKNG,Consumer Discretionary,1075531,,-97.44984061503844,-88.5484062616081,-77.73096528553877
BSX,BSX,Health Care,885725,-40.8781127129751,100.00000000000004,86.5511908333657,7.20917894254951
BMY,BMY,Health Care,14272,7.701575532900828,142.59259259259278,-89.89197530864205,2300.0000000000196
AVGO,AVGO,Information Technology,1730168,4.190178545591339,,,
BR,BR,Industrials,1383312,-35.5001344447432,,,
BRO,BRO,Financials,79282,-12.182263227264178,92.72727272727268,46.621302783034665,31.445614702021917
BF.B,BF-B,Consumer Staples,14693,,,,
BLDR,BLDR,Industrials,1316835,-17.674215181261545,,,-37.98668891177015
BG,BG,Consumer Staples,1996862,19.508362330227857,,,-62.58679653931761
BXP,BXP,Real Estate,1037540,2.735359525574488,-58.97435897435898,-38.86375062845653,-32.89473684210525
CHRW,CHRW,Industrials,1043277,18.118174180901715,8.928571428571441,-32.53671957789136,61.463496508056046
CDNS,CDNS,Information Technology,813672,19.273448242780855,-13.380281690140826,9.855576448093938,-21.1512777862611
CPT,CPT,Real Estate,906345,6.525292888929246,-72.22222222222223,-54.275415549782956,-39.249797211342575
COF,COF,Financials,927628,-15.41396807062415,-22.863741339491916,-50.433218448222185,55.62087399185076
CAH,CAH,Health Care,721371,16.201226038727267,,,
CCL,CCL,Consumer Discretionary,815097,-8.690671031096564,-42.42424242424243,,
CARR,CARR,Industrials,1783180,32.6488123403047,300.00000000000034,1173.604713212559,-68.59308105173115
CVNA,CVNA,Consumer Discretionary,1690820,1.6050698886519665,,,
CASY,CASY,Consumer Staples,726958,44.39223568182229,,,
CAT,CAT,Industrials,18230,68.48437227169546,7.045009784735834,19.898009299118957,-10.719944050378471
CBOE,CBOE,Financials,1374310,-0.7608955461716138,23.232323232323225,9.431130730712955,12.611760848539632
CBRE,CBRE,Real Estate,1138118,-11.913278795607951,-22.463768115942017,156.20649895553402,-69.7368208065968
CDW,CDW,Information Technology,1402057,22.36600587371513,-14.553990610328672,8.021755272569742,-20.899258511337237
COR,COR,Health Care,1140859,9.781192633386638,,,
CNC,CNC,Health Care,1071739,64.73160068010687,,,766.8497975016035
CNP,CNP,Utilities,1130310,16.271186440677976,19.99999999999997,-18.3087853838949,46.89462087682368
CF,CF,Materials,1324404,42.98001681433099,55.468749999999936,86.23176946186419,-16.518674311454575
CRL,CRL,Health Care,1100682,15.545586687384105,,,-64.18732782369148
SCHW,SCHW,Financials,316709,-2.9963483567605476,3.7878787878787845,-12.416237683963672,18.501279282079363
CHTR,CHTR,Communication Services,1091667,-12.44352920517856,-10.710808179162612,-5.521872360532787,-5.492208565384615
CVX,CVX,Energy,93410,11.070280202113004,-18.38235294117644,-49.82589032852337,62.66884971796956
CMG,CMG,Consumer Discretionary,1058090,-4.442344045368629,-7.999999999999929,-21.142857142857086,16.666666666666675
CB,CB,Financials,896159,15.734495409904369,-26.956521739130444,25.110086804884823,-41.616635295933925
CHD,CHD,Consumer Staples,313927,17.63302314483417,51.66666666666671,15.353489108734909,31.479912604725936
CIEN,CIEN,Information Technology,936395,79.68770053475936,,,
CI,CI,Health Care,1739940,4.523151849967277,34.913793103448356,39.36455741201572,-3.1936127744511045
CINF,CINF,Financials,20286,17.51201444794759,-59.2074592074592,-36.08030741921955,-36.18157543391188
CTAS,CTAS,Industrials,723254,-3.5968736707784,,,
CSCO,CSCO,Information Technology,858877,46.28415655221654,,,
C,C,Financials,831001,19.926309926738362,,,47.36842105263155
CFG,CFG,Financials,759944,21.527005050072745,0.8928571428571397,-22.044156247268365,29.423083999808263
CLX,CLX,Consumer Staples,21076,-3.54539594386869,,,
CME,CME,Financials,1156375,-13.350421091175402,-1.8518518518518046,-8.492732859854302,7.257217066521959
CMS,CMS,Utilities,811156,11.155606407322649,17.021276595744773,14.236401391870235,2.437817692034483
KO,KO,Consumer Staples,21344,19.877019877019862,71.69811320754714,7.893569001956124,59.13655910709028
CTSH,CTSH,Information Technology,1058290,-49.400566299174656,2.9629629629629894,-5.867922453298657,9.381377365096832
COHR,COHR,Information Technology,820318,80.60024920093178,,,
COIN,COIN,Financials,1679788,-26.526632987680575,,,-55.41522543138648
CL,CL,Consumer Staples,21665,20.341664030370122,,,-3.992694729655777
CMCSA,CMCSA,Communication Services,1166691,-20.5218263923733,-3.2258064516129115,3.318059239110971,-6.333709458846193
FIX,FIX,Industrials,1035983,86.58864776772315,12.406417112299483,1.6291339179425934,10.604521340365537
COP,COP,Energy,1163165,11.886318713606503,50.84745762711873,51.53648814468479,-0.454696110489361
ED,ED,Utilities,1047862,14.753272910372605,213.5802469135804,36.062476640781036,130.4678370227411
STZ,STZ,Consumer Staples,16918,-0.4350348027842177,,,
CEG,CEG,Utilities,1868275,-32.19269197022445,225.36231884057963,2220.3470633104503,-85.9778597785978
COO,COO,Health Care,711404,-9.469188529591221,,,
CPRT,CPRT,Industrials,900075,-23.37844739530133,,,
GLW,GLW,Information Technology,24741,125.71656960146171,-29.508196721311485,40.98360655737703,-50.0
CPAY,CPAY,Financials,1175454,17.157718065041472,35.56149732620326,43.799138300949124,-5.728574643824203
CTVA,CTVA,Materials,1755672,27.939750950712106,,,
CSGP,CSGP,Real Estate,1057352,-55.410128653231205,-91.66666666666666,0.0,-91.66666666666666
COST,COST,Consumer Staples,909832,10.134069400630906,,,
CRH,CRH,Materials,849395,-13.949202788238125,,,-83.33333333333333
CRWD,CRWD,Information Technology,1535527,65.46781006015614,-49.999999999999986,-52.94117647058821,6.249999999999978
CCI,CCI,Real Estate,1051470,-13.840441093732425,-49.25373134328359,-40.67689720412023,-14.457831325301228
CSX,CSX,Industrials,277948,34.758031159520186,10.256410256410241,18.0855328219343,-6.6300438152147585
CMI,CMI,Industrials,26172,29.611850226306412,10.8235294117647,-40.12554283458347,85.09316770186327
CVS,CVS,Health Care,64803,31.96395942284669,-0.43290043290041824,28.509490584820462,-22.521598121671772
DHR,DHR,Health Care,313616,-13.55554584771308,-14.201183431952636,-8.854085552815881,-5.86652502371372
DRI,DRI,Consumer Discretionary,940944,10.931812007606624,,,
DDOG,DDOG,Information Technology,1561550,91.31649571706922,15.384615384615397,94.22124881465537,-40.59114742139954
DVA,DVA,Health Care,927066,106.63615560640731,-10.869565217391298,-12.98675353045855,2.433179313460454
DECK,DECK,Consumer Discretionary,910521,0.960054033191815,,,
